# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# EGBB
EGKK,08L,SFD,SAM,1
EGKK,08L,SFD,SFD,2
EGKK,08R,BIG,BIG,3
EGKK,08R,BIG,DVR,3
EGKK,08R,BIG,FRANE,3
EGKK,08R,BIG,IMVUR,1
EGKK,08R,BIG,KENET,1
EGKK,08R,BIG,LAM,2
EGKK,08R,BIG,ODVIK,3
EGKK,08R,BIG,SAM,1
EGKK,08R,BIG,SFD,1
EGKK,08R,DVR,BIG,2
EGKK,08R,DVR,DVR,2
EGKK,08R,DVR,FRANE,2
EGKK,08R,DVR,IMVUR,1
EGKK,08R,DVR,KENET,1
EGKK,08R,DVR,LAM,2
EGKK,08R,DVR,ODVIK,2
EGKK,08R,DVR,SAM,1
EGKK,08R,DVR,SFD,1
EGKK,08R,FRANE,BIG,2
EGKK,08R,FRANE,DVR,2
EGKK,08R,FRANE,FRANE,2
EGKK,08R,FRANE,IMVUR,1
EGKK,08R,FRANE,KENET,1
EGKK,08R,FRANE,LAM,2
EGKK,08R,FRANE,ODVIK,2
EGKK,08R,FRANE,SAM,1
EGKK,08R,FRANE,SFD,1
EGKK,08R,IMVUR,BIG,1
EGKK,08R,IMVUR,DVR,1
EGKK,08R,IMVUR,FRANE,1
EGKK,08R,IMVUR,IMVUR,2
EGKK,08R,IMVUR,KENET,2
EGKK,08R,IMVUR,LAM,2
EGKK,08R,IMVUR,ODVIK,1
EGKK,08R,IMVUR,SAM,2
EGKK,08R,IMVUR,SFD,1
EGKK,08R,KENET,BIG,1
EGKK,08R,KENET,DVR,1
EGKK,08R,KENET,FRANE,1
EGKK,08R,KENET,IMVUR,2
